FATALITY_DATE,DEPLOYMENT_PROVINCE_1,count
1969-02-01,Quang Tri,216
1969-02-01,Quang Nam,309
1969-02-01,Other provinces,368
1969-03-01,Binh Dinh,24
1969-03-01,Thua Thien - Hue,64
1969-03-01,Quang Ngai,92
1969-03-01,Binh Duong,92
1969-03-01,Tay Ninh,123
1969-03-01,Kon Tum,148
1969-03-01,Quang Tri,219
1969-03-01,Quang Nam,286
1969-03-01,Other provinces,398
1969-04-01,Binh Dinh,20
1969-04-01,Kon Tum,27
1969-04-01,Quang Ngai,47
1969-04-01,Thua Thien - Hue,67
1969-04-01,Binh Duong,79
1969-04-01,Tay Ninh,112
1969-04-01,Quang Tri,116
1969-04-01,Quang Nam,215
1969-04-01,Other provinces,304
1969-05-01,Binh Dinh,34
1969-05-01,Kon Tum,55
1969-05-01,Binh Duong,70
1969-05-01,Tay Ninh,97
1969-05-01,Quang Tri,113
1969-05-01,Quang Ngai,124
1969-05-01,Thua Thien - Hue,151
1969-05-01,Quang Nam,340
1969-05-01,Other provinces,392
1969-06-01,Binh Dinh,32
1969-06-01,Kon Tum,58
1969-06-01,Thua Thien - Hue,62
1969-06-01,Binh Duong,76
1969-06-01,Quang Ngai,104
1969-06-01,Tay Ninh,132
1969-06-01,Quang Tri,169
1969-06-01,Quang Nam,265
1969-06-01,Other provinces,323
1969-07-01,Kon Tum,13
1969-07-01,Binh Duong,46
1969-07-01,Tay Ninh,47
1969-07-01,Binh Dinh,48
1969-07-01,Quang Tri,61
1969-07-01,Quang Ngai,71
1969-07-01,Thua Thien - Hue,75
1969-07-01,Quang Nam,164
1969-07-01,Other provinces,249
1969-08-01,Kon Tum,14
1969-08-01,Binh Dinh,39
1969-08-01,Thua Thien - Hue,51
1969-08-01,Binh Duong,69
1969-08-01,Tay Ninh,75
1969-08-01,Quang Ngai,77
1969-08-01,Quang Tri,88
1969-08-01,Other provinces,246
1969-08-01,Quang Nam,280
1969-09-01,Thua Thien - Hue,20
1969-09-01,Binh Dinh,28
1969-09-01,Binh Duong,43
1969-09-01,Quang Ngai,54
1969-09-01,Tay Ninh,56
1969-09-01,Quang Tri,68
1969-09-01,Quang Nam,135
1969-09-01,Other provinces,232
1969-10-01,Kon Tum,7
1969-10-01,Thua Thien - Hue,21
1969-10-01,Binh Duong,37
1969-10-01,Tay Ninh,37
1969-10-01,Quang Ngai,44
1969-10-01,Binh Dinh,51
1969-10-01,Quang Tri,57
1969-10-01,Quang Nam,97
1969-10-01,Other provinces,209
1969-11-01,Kon Tum,5
1969-11-01,Thua Thien - Hue,13
1969-11-01,Quang Ngai,22
1969-11-01,Quang Tri,32
1969-11-01,Binh Dinh,46
1969-11-01,Binh Duong,48
1969-11-01,Tay Ninh,60
1969-11-01,Quang Nam,114
1969-11-01,Other provinces,256
1969-12-01,Kon Tum,7
1969-12-01,Quang Tri,15
1969-12-01,Thua Thien - Hue,16
1969-12-01,Binh Dinh,19
1969-12-01,Quang Ngai,20
1969-12-01,Tay Ninh,27
1969-12-01,Binh Duong,40
1969-12-01,Quang Nam,120
1969-12-01,Other provinces,217
1970-01-01,Kon Tum,2
1970-01-01,Quang Tri,14
1970-01-01,Binh Duong,25
1970-01-01,Thua Thien - Hue,27
1970-01-01,Binh Dinh,36
1970-01-01,Quang Ngai,38
1970-01-01,Tay Ninh,42
1970-01-01,Quang Nam,107
1970-01-01,Other provinces,160
1970-02-01,Kon Tum,2
1970-02-01,Quang Tri,13
1970-02-01,Binh Duong,25
