BusStopCode,RATIO,TOTAL,Description,Latitude,Longitude
24451,2480.1762114537446,5857,Opp Cambridge Ind Trust,1.30599340060276,103.66378722029442
98309,2447.3927392739274,38593,Carissa Pk,1.35996000001358,103.96473694441013
49119,2374.4444444444443,6681,Blk 2,1.43218727065725,103.75568435534463
26241,2367.1140939597317,3676,Aft Tuas Sth Ave 2,1.32051139798651,103.63084994911132
21331,2340.1459854014597,3343,Opp Premier Milk Pte Ltd,1.33029049207675,103.70796785261548
22401,2321.130221130221,9854,Aft Shipyard Rd,1.31007875279152,103.69714966993958
11381,2300.5908419497787,32504,Blk 10A,1.30841137865065,103.79328294102335
98139,2295.5882352941176,3258,Aft Loyang Way 1,1.37394091672222,103.97236010514752
22421,2288.888888888889,645,Natl Oxygen Pte Ltd,1.30775500000365,103.69872388898081
24681,2252.5641025641025,1835,Opp Jurong Insp Ctr,1.31200874931979,103.65863348470843
77119,2246.4566929133857,2980,Aft Pasir Ris Way,1.38222775917912,103.94657905489993
21291,2203.5714285714284,5805,Aft Jln Buroh,1.31585422996408,103.70943351671639
76559,2200.0,1656,AFT TAMPINES STN EXIT E,1.35556499992374,103.9434688889217
58421,2182.3275862068963,5295,Blk 353,1.4513061244853,103.81902919989243
16109,2151.8796992481202,5990,The Alpha,1.28911169277414,103.77950843257454
25389,2129.166666666667,1070,Aft Tuas Ave 8,1.32595623010711,103.64720536104248
24431,2128.235294117647,3788,Aft Pioneer Sector 2,1.30726611103183,103.6576999999841
96429,2126.068376068376,10418,CHANGI LODGE 2,1.313721111,103.9953811
46659,2123.599088838269,48808,Opp Blk 550,1.43269272771322,103.79414300304941
22319,2042.6523297491042,5978,Bef Enterprise Rd,1.33198138900019,103.70545250001828
58079,2042.3841059602648,3235,Aft Jln Basong,1.45500446219905,103.83381218856621
40309,2041.949152542373,5055,Opp Blk 451A,1.35367643079374,103.74299081028306
25541,2036.8055555555557,6154,PEC,1.329782,103.647851
26041,1998.4848484848485,1385,HIAP SENG ENGRG LTD,1.314711,103.643052
21321,1990.5263157894738,3972,UTOC ENGRG,1.32624055798556,103.70885429370763
59669,1988.8663967611337,10319,Opp Blk 932,1.42623639393056,103.83784276257873
78269,1985.984251968504,13246,Ripple Bay,1.37861875398733,103.96096176266686
22029,1913.3333333333333,906,Opp Givaudan,1.32244971744256,103.70268212142697
23221,1911.822660098522,4084,Aft Gul Way,1.30896659624814,103.67178095052478
25329,1910.8108108108108,744,Mapletree Logistics,1.31779138900842,103.65646249999054
31069,1908.7301587301588,2531,Bef Old Choa Chu Kang Rd,1.37493138896603,103.69550611102841
59441,1894.0306992609435,35075,Naval Base Pr Sch,1.41588388901051,103.83948333301474
49129,1865.9459459459458,7274,Lip Guan Ind,1.43487511854102,103.75521112659418
22391,1849.669749009247,14759,Bef Jln Buroh,1.31342749923518,103.6957230721563
58351,1824.874731567645,53781,Blk 483,1.45593548683251,103.81491062256012
24341,1815.5172413793102,4444,Opp Keppel Shipyard,1.29559624794118,103.67069575266142
31011,1814.8936170212767,900,Aft Nanyang Ave,1.35908460846532,103.69389522616177
25641,1800.0,1501,OPP ROCHE S'PORE TECH,1.296157,103.638434
77109,1799.1304347826087,2184,Aft Pasir Ris Rd,1.3805263866174,103.94826215873827
24629,1788.157894736842,2870,Opp Ocean Tanker,1.3085113890287,103.65015527797974
83209,1780.5755395683452,5228,Aft Frankel Terr,1.31870305598811,103.91459583301028
58509,1775.1737835153922,18883,Blk 590A,1.45059927113154,103.82696425665894
65559,1741.1764705882351,3756,Opposite Blk 227A,1.404046,103.8925
95169,1741.0526315789475,1749,Aft Changi Ferry Rd,1.37262300000012,104.0046664051527
25579,1739.1959798994976,3660,WEST STAR,1.315542,103.634947
