PATH,TOTAL_TRIPS,BusStopCode
45139/45079,13545,45139
17009/17159,13528,17009
52289/52009,13524,52289
85099/84101,13510,85099
54659/55509,13495,54659
20109/17009,13474,20109
59079/58529,13473,59079
47571/47591,13466,47571
84039/84641,13466,84039
76249/76039,13462,76249
44009/45261,13457,44009
77009/78261,13438,77009
84109/85091,13436,84109
46489/46779,13425,46489
22009/27419,13418,22009
28571/28009,13412,28571
64009/63389,13378,64009
43009/43541,13357,43009
21019/28009,13349,21019
55509/64491,13347,55509
75009/75109,13337,75009
64009/64051,13330,64009
67109/67409,13316,67109
52009/60221,13313,52009
66109/54269,13311,66109
65339/65009,13310,65339
52009/52411,13299,52009
10161/10379,13299,10161
10079/10161,13297,10079
22521/27211,13297,22521
22521/27131,13276,22521
77009/78251,13272,77009
75009/76121,13265,75009
84009/84301,13264,84009
66481/67609,13255,66481
54009/54201,13255,54009
65199/95029,13253,65199
14161/15051,13250,14161
63291/62139,13226,63291
64481/64549,13206,64481
75151/75009,13195,75151
17171/28689,13195,17171
44009/44561,13194,44009
46529/44269,13194,46529
75009/76519,13188,75009
59009/59639,13178,59009
54261/54581,13163,54261
58219/58121,13136,58219
42051/12099,13133,42051
42189/42159,13133,42189
46009/46761,13132,46009
10209/10189,13128,10209
80199/90029,13119,80199
84009/84409,13119,84009
43509/17179,13100,43509
54009/55111,13092,54009
42319/17179,13086,42319
67201/67601,13082,67201
59291/59671,13073,59291
59561/59411,13069,59561
53231/53211,13068,53231
21389/22009,13067,21389
60219/52009,13064,60219
70041/61031,13052,70041
84211/84201,13051,84211
28009/28451,13040,28009
44269/44259,13030,44269
58219/58019,13027,58219
46529/47031,13022,46529
43191/43009,13013,43191
52009/60211,13007,52009
55119/54009,13007,55119
76459/75009,13003,76459
19089/19031,12982,19089
64541/64411,12977,64541
58251/58379,12957,58251
58261/58211,12935,58261
46771/46801,12934,46771
19081/11361,12926,19081
78259/77009,12912,78259
43009/40301,12894,43009
59009/59111,12884,59009
58011/58211,12850,58011
47659/46779,12834,47659
27351/22009,12816,27351
27451/22009,12804,27451
53359/53009,12801,53359
59351/59009,12801,59351
27141/22529,12798,27141
14249/14129,12792,14249
10049/10018,12781,10049
92041/92239,12781,92041
62131/63011,12775,62131
54339/54319,12774,54339
46219/47711,12774,46219
55509/55149,12737,55509
46009/47539,12718,46009
64009/64411,12709,64009
53009/53249,12707,53009
17091/17171,12707,17091
50081/50021,12697,50081
22521/27301,12695,22521
59719/59569,12693,59719
77361/77171,12689,77361
53009/54381,12671,53009
84009/84251,12654,84009
84009/84649,12646,84009
75009/75281,12626,75009
59561/59431,12614,59561
46009/46661,12606,46009
85069/85099,12603,85069
42041/42051,12594,42041
59041/59611,12572,59041
81111/92249,12569,81111
44009/44879,12564,44009
77259/77009,12562,77259
70039/81089,12557,70039
59073/65199,12552,59073
92079/92049,12551,92079
28091/21589,12545,28091
65149/65009,12538,65149
15059/14129,12534,15059
84569/84031,12520,84569
76351/76199,12514,76351
54009/55169,12508,54009
78241/77009,12507,78241
46551/46009,12459,46551
59761/59429,12457,59761
10209/10349,12441,10209
44091/44031,12440,44091
84499/84009,12412,84499
60121/52009,12410,60121
83062/83081,12407,83062
46989/46639,12385,46989
66301/66359,12373,66301
84669/85091,12371,84669
29011/28009,12364,29011
77009/77291,12353,77009
96169/76101,12345,96169
78049/77039,12344,78049
64541/64489,12344,64541
46921/46779,12341,46921
46009/46641,12337,46009
28009/28401,12337,28009
75009/76211,12333,75009
45009/45469,12325,45009
75009/76439,12316,75009
28009/28411,12301,28009
71111/71169,12298,71111
82061/72061,12294,82061
45379/45321,12290,45379
63219/66359,12284,63219
46009/46281,12280,46009
55129/54009,12271,55129
64331/64549,12256,64331
59201/59161,12256,59201
75009/76401,12253,75009
28089/28009,12244,28089
44621/44031,12241,44621
10201/10291,12225,10201
84009/84491,12215,84009
75009/75159,12215,75009
65071/65009,12214,65071
19019/11169,12212,19019
76061/75009,12211,76061
76439/75009,12192,76439
46309/46009,12191,46309
84009/84451,12188,84009
40041/40051,12187,40041
58519/58211,12171,58519
64029/64381,12163,64029
96299/96161,12163,96299
52009/52401,12163,52009
54009/56259,12161,54009
75009/76301,12159,75009
62051/66351,12152,62051
76101/75009,12144,76101
10161/14039,12133,10161
84559/84031,12115,84559
78181/77171,12114,78181
46479/46779,12107,46479
65009/65341,12098,65009
46869/46008,12091,46869
52009/50211,12086,52009
52009/70101,12085,52009
75009/96289,12075,75009
17171/21011,12056,17171
64419/64549,12055,64419
44261/40229,12047,44261
28009/28661,12044,28009
52371/52009,12037,52371
76101/76031,12032,76101
46009/46481,12029,46009
46489/46009,12021,46489
28091/21429,12015,28091
63019/66351,12002,63019
54589/54269,11987,54589
62221/66351,11983,62221
52009/50191,11977,52009
85099/84661,11969,85099
54209/54009,11951,54209
66351/66271,11906,66351
44289/44251,11901,44289
44091/44009,11895,44091
22521/27321,11895,22521
10131/11161,11891,10131
47619/46009,11887,47619
43009/40341,11887,43009
52009/52329,11884,52009
59009/59579,11873,59009
54339/54329,11858,54339
43009/43801,11853,43009
54371/54269,11852,54371
54248/54191,11846,54248
85099/84071,11836,85099
63039/63019,11835,63039
42151/28679,11826,42151
84229/84009,11820,84229
44259/44291,11815,44259
75231/75051,11814,75231
47501/46009,11811,47501
52539/52009,11806,52539
59579/59429,11805,59579
46009/47571,11802,46009
28099/28519,11786,28099
63049/63039,11775,63049
77009/78069,11775,77009
43611/43009,11766,43611
11521/10299,11755,11521
55509/54651,11749,55509
46771/46881,11741,46771
22009/22399,11738,22009
21419/22009,11733,21419
72019/83109,11708,72019
44619/45009,11695,44619
83291/83101,11682,83291
63399/62139,11666,63399
63291/66359,11664,63291
54248/54181,11662,54248
40129/40189,11648,40129
77009/77251,11636,77009
44391/44009,11636,44391
59129/59009,11620,59129
46008/46559,11619,46008
44299/44251,11606,44299
45009/45321,11605,45009
64109/66359,11603,64109
77009/78171,11589,77009
53009/53401,11573,53009
54011/54261,11571,54011
60269/60221,11561,60269
90079/80199,11550,90079
67009/65039,11539,67009
20199/28009,11531,20199
75009/76399,11516,75009
65009/65201,11499,65009
28461/28491,11497,28461
66351/66059,11493,66351
28491/28511,11492,28491
81181/82131,11479,81181
58259/58349,11472,58259
10111/11161,11459,10111
46111/46009,11456,46111
25771/24719,11442,25771
65191/59079,11429,65191
80031/80119,11425,80031
56251/54009,11422,56251
54009/54319,11411,54009
64361/64381,11402,64361
27309/22009,11391,27309
78059/76039,11385,78059
70109/52009,11383,70109
22009/21411,11376,22009
17171/28659,11360,17171
84089/85091,11353,84089
46699/46009,11345,46699
84009/84369,11335,84009
59259/59073,11330,59259
46119/46069,11327,46119
10351/10169,11321,10351
44031/44559,11318,44031
