,BusStopCode,RoadName,Description,Latitude,Longitude
2685,59189,Yishun Ave 9,Blk 245,1.43425361497792,103.84204166750071
2686,59191,Yishun Ave 6,Opp Northland Sec Sch,1.43649083301477,103.84212083297022
2687,59199,Yishun Ave 6,Blk 250,1.43609553700432,103.84224938363205
2688,59201,Yishun Ave 6,Opp Chongfu Pr Sch,1.43871588444799,103.8403521964609
2689,59209,Yishun Ave 6,Blk 272,1.43856611102095,103.84021166701386
2690,59211,Yishun Ave 7,Blk 289,1.44037027798466,103.8381736110171
2691,59219,Yishun Ave 7,Opp Blk 288,1.44045526236363,103.83757625759554
2692,59221,Yishun Ave 7,Opp Yishun Ind Pk A,1.43902299324239,103.83502785005078
2693,59229,Yishun Ave 7,Yishun Ind Pk A,1.43901589576688,103.83416399362906
2694,59231,Yishun Ring Rd,Blk 227,1.43537970016985,103.83680745007868
2695,59239,Yishun Ring Rd,Blk 291,1.43560781996531,103.83684372359264
2696,59241,Yishun Ring Rd,Blk 236,1.43427221606754,103.83922930159359
2697,59249,Yishun Ring Rd,Blk 257,1.43436086302643,103.8394374423364
2698,59251,Yishun Ave 2,Opp Darul Makmur Mque,1.43669132626001,103.83368337352286
2699,59259,Yishun Ave 2,Darul Makmur Mque,1.43716783426775,103.83379791523895
2700,59261,Yishun Ave 7,Blk 174,1.43755803458153,103.83159143616113
2701,59269,Yishun Ave 7,Opp Blk 174,1.43774971409693,103.8312528105951
2702,59271,Yishun Ave 7,Blk 118,1.4362831713903,103.82855161345292
2703,59279,Yishun Ave 7,Opp Ahmad Ibrahim Sec Sch,1.43670438744279,103.8288049642525
2704,59281,Yishun Ave 4,Blk 654,1.4228063053424,103.84070404095088
2705,59289,Yishun Ave 4,Blk 676 CP,1.42166630737691,103.84138894371273
2706,59291,Yishun Ave 4,Blk 666,1.4189297001887,103.8407248899634
2707,59299,Yishun Ave 4,Blk 671 CP,1.41910065823939,103.84101934062127
2708,59301,Yishun Ring Rd,Blk 731,1.42857438462559,103.8305483297094
2709,59309,Yishun Ring Rd,Jiemin Pr Sch,1.42826195477761,103.83063072371398
2710,59311,Yishun Ring Rd,Blk 760,1.4260484365847,103.83218609995292
2711,59319,Yishun Ring Rd,Yishun JC,1.42617166698404,103.83201083297399
2712,59321,Yishun Ring Rd,Blk 794,1.42004673882783,103.831802328761
2713,59329,Yishun Ring Rd,Naval Base Sec Sch,1.41968029160119,103.83179596945222
2714,59331,Yishun Ave 3,Blk 773,1.422973728077,103.83276716795122
2715,59339,Yishun Ave 3,Blk 776,1.42273567302859,103.83378411194366
2716,59341,Yishun Ctrl,Khoo Teck Puat Hosp,1.42367163179884,103.83864456915899
2717,59349,Yishun Ctrl,Opp Khoo Teck Puat Hosp,1.42345056032348,103.83882425770956
2718,59351,Yishun Ctrl,Opp Blk 322,1.42877888900017,103.8402288889874
2719,59359,Yishun Ctrl,Blk 322,1.42844102693712,103.84071821797886
2720,59361,Yishun St 61,Blk 602,1.42249529494999,103.83670552011698
2721,59369,Yishun St 61,Blk 647,1.42214126973318,103.83683836680166
2722,59371,Yishun St 61,Chung Cheng High Sch,1.4200541415854,103.83787034099134
2723,59379,Yishun St 61,Opp Chung Cheng High Sch,1.41946852245611,103.83823983239508
2724,59381,Yishun Ring Rd,Blk 314,1.43181131616813,103.84196021620254
2725,59389,Yishun Ring Rd,Opp Blk 314,1.43202071867504,103.84208246442347
2726,59391,Yishun Ring Rd,Blk 342B,1.43021107363512,103.84523111093658
2727,59399,Yishun Ring Rd,Opp Blk 367,1.43026750784845,103.84552062872451
2728,59401,Yishun Ring Rd,Blk 358,1.42705456686774,103.84615134332738
2729,59409,Yishun Ring Rd,Evangel Family Ch,1.42663883088373,103.84640616622914
2730,59411,Yishun Ring Rd,Blk 356,1.42521425593657,103.84572707357924
2731,59419,Yishun Ring Rd,Blk 413,1.42525968028764,103.84598027430432
2732,59421,Yishun Ring Rd,Blk 624,1.41762836917061,103.8351341252188
2733,59429,Yishun Ring Rd,Blk 846,1.4174261275063,103.83503056128593
2734,59431,Yishun Ring Rd,Blk 630,1.41778095290053,103.8376666508758
2735,59439,Yishun Ring Rd,Blk 858,1.41781023946668,103.83835440290515
2736,59441,Yishun Ave 4,Naval Base Pr Sch,1.41588388901051,103.83948333301474
2737,59449,Yishun Ave 4,Opp Naval Base Pr Sch,1.41552972203074,103.83953916700452
2738,59451,Yishun Ave 11,Bet Blks 349/350,1.42569613726662,103.84360741617542
2739,59459,Yishun Ave 11,Opp Huamin Pr Sch,1.42637371131971,103.84259503772017
