PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
47561/47591,17499,47561,47591
67009/67369,17484,67369,67009
75009/76219,17484,76219,75009
44009/44189,17481,44189,44009
21249/22009,17472,21249,22009
17159/17179,17464,17179,17159
28009/28509,17456,28509,28009
59231/59689,17419,59231,59689
75009/76391,17418,76391,75009
44009/45319,17409,45319,44009
84009/84401,17408,84401,84009
84009/84559,17402,84009,84559
54261/66101,17351,54261,66101
22529/27531,17348,27531,22529
64241/64541,17347,64241,64541
28009/28079,17345,28079,28009
83321/83361,17304,83321,83361
84009/84549,17290,84009,84549
54009/54011,17283,54011,54009
84009/84409,17267,84409,84009
52009/60261,17258,52009,60261
10169/13121,17218,10169,13121
22009/27469,17203,22009,27469
46771/47611,17180,46771,47611
21651/28091,17169,21651,28091
59041/65191,17154,65191,59041
44611/45009,17133,45009,44611
58129/58211,17129,58129,58211
52009/52059,17123,52059,52009
11361/19071,17108,19071,11361
65009/65371,17045,65009,65371
54009/54169,17045,54009,54169
65009/65229,17040,65229,65009
44009/44499,17027,44499,44009
67009/67239,17001,67239,67009
46009/46681,16977,46681,46009
52009/52079,16964,52009,52079
21011/28009,16943,28009,21011
12201/17171,16933,17171,12201
22009/28531,16914,28531,22009
10139/11169,16841,11169,10139
83062/84021,16836,83062,84021
22009/27321,16793,22009,27321
52009/52271,16765,52009,52271
75009/76271,16764,76271,75009
64009/64401,16762,64009,64401
43491/43571,16758,43571,43491
10071/10169,16742,10169,10071
59461/59671,16740,59461,59671
21241/22009,16707,22009,21241
11009/11169,16670,11009,11169
75009/76051,16598,76051,75009
66351/66371,16591,66351,66371
43009/43359,16571,43009,43359
44031/44551,16534,44551,44031
44289/44539,16527,44539,44289
59049/75009,16486,59049,75009
47551/47591,16473,47551,47591
54231/54261,16472,54231,54261
46009/47611,16434,46009,47611
80069/81089,16428,81089,80069
17009/17279,16395,17009,17279
67009/67179,16389,67179,67009
28009/28469,16387,28469,28009
65009/65531,16358,65009,65531
53009/53361,16324,53009,53361
44009/44569,16284,44569,44009
46639/46979,16271,46979,46639
67371/67409,16252,67409,67371
77009/78181,16234,77009,78181
84009/84239,16225,84239,84009
10161/14389,16148,10161,14389
22009/22449,16132,22449,22009
54009/54221,16112,54221,54009
46779/47671,16107,47671,46779
24009/26269,16099,24009,26269
44031/44871,16086,44031,44871
21609/22009,16082,22009,21609
77009/77279,16078,77279,77009
46009/46469,16076,46469,46009
75009/76269,16058,75009,76269
67409/67559,16015,67409,67559
77039/77289,16014,77289,77039
28009/28541,15997,28541,28009
22009/30021,15987,22009,30021
11369/19089,15942,11369,19089
21451/28091,15922,28091,21451
65009/65549,15919,65549,65009
44009/48131,15914,44009,48131
84009/84401,15876,84009,84401
81129/82091,15867,82091,81129
75009/75111,15864,75111,75009
66009/70059,15864,66009,70059
11169/11439,15813,11439,11169
17061/17239,15799,17239,17061
84009/84249,15788,84249,84009
59073/59289,15784,59073,59289
84009/84119,15777,84009,84119
63039/63341,15776,63341,63039
17171/42311,15775,17171,42311
52009/60089,15774,60089,52009
84031/85091,15772,84031,85091
43419/43449,15752,43449,43419
21591/22009,15748,21591,22009
64471/64549,15742,64471,64549
20201/28009,15731,28009,20201
14041/14141,15714,14141,14041
46009/46689,15713,46009,46689
59281/59671,15709,59281,59671
44699/45009,15697,44699,45009
14119/14379,15693,14119,14379
53231/54329,15692,54329,53231
58259/58361,15691,58259,58361
59073/59529,15661,59529,59073
58151/58169,15609,58151,58169
28009/28439,15588,28439,28009
84039/84069,15578,84069,84039
44651/45009,15567,45009,44651
54261/66341,15556,54261,66341
44031/45461,15548,45461,44031
67601/67629,15532,67601,67629
46779/46941,15527,46941,46779
58269/59073,15494,58269,59073
84009/84309,15477,84309,84009
44009/44189,15427,44009,44189
43009/43351,15425,43351,43009
67609/67619,15418,67609,67619
62251/64009,15416,64009,62251
54009/66331,15415,54009,66331
52009/52149,15413,52149,52009
54269/66349,15406,66349,54269
46009/75359,15400,46009,75359
65191/95029,15384,95029,65191
48131/54009,15331,54009,48131
28009/28081,15321,28009,28081
17171/20021,15302,17171,20021
84009/84221,15297,84009,84221
22009/27331,15295,22009,27331
77009/78169,15287,78169,77009
75009/76261,15281,76261,75009
59139/59239,15273,59139,59239
12209/17179,15264,12209,17179
10201/11529,15247,10201,11529
46009/46969,15219,46009,46969
77009/78159,15216,78159,77009
72011/83101,15203,83101,72011
59049/59059,15167,59059,59049
17159/17239,15163,17239,17159
84009/84209,15144,84209,84009
54199/54261,15141,54199,54261
44669/45009,15100,44669,45009
22529/27159,15076,27159,22529
11169/11189,15059,11189,11169
46009/46479,15055,46479,46009
60119/60139,15051,60139,60119
53231/54319,15045,54319,53231
17171/19011,15025,19011,17171
67009/67361,14983,67009,67361
52009/52059,14975,52009,52059
21421/28099,14969,21421,28099
46529/47041,14951,46529,47041
43009/43421,14950,43009,43421
17009/17049,14922,17009,17049
46779/46809,14920,46809,46779
83329/83361,14903,83361,83329
17009/17229,14901,17229,17009
60179/60269,14890,60269,60179
59091/59249,14877,59091,59249
75009/76249,14864,76249,75009
65009/65379,14860,65379,65009
17009/17071,14839,17009,17071
52009/52309,14813,52009,52309
43009/43319,14810,43009,43319
