node_id,name,jurisdiction,jurisdiction_description,country_codes,countries,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,company_type,service_provider,sourceID,valid_until,note
82007202,Pertamina Hulu Energi Ambalat Ltd.,BM,Bermuda,BMU,Bermuda,07-SEP-1999,,,,EC 26978,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007204,Pertamina Hulu Energi Bukat Ltd.,BM,Bermuda,BMU,Bermuda,14-SEP-1992,,,,EC 17665,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007212,GOLD BARREL SOCIAL CLUB RESORT MANAGEMENT LTD.,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,16-JUN-2006,,,02-APR-2008,EC38540,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007237,Floatel International Ltd.,BM,Bermuda,BMU;SWE,Bermuda;Sweden,15-SEP-2006,,,,EC 38902,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007292,Valuetronics Holdings Limited,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,18-AUG-2006,,,,EC38813,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007342,Lend Lease Asian Retail Investment Fund 2 Ltd.,BM,Bermuda,BMU,Bermuda,19-SEP-2006,,,28-FEB-2011,EC 38917,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007343,Lend Lease Asian Retail Investment Fund 3 Ltd.,BM,Bermuda,BMU,Bermuda,19-SEP-2006,,,28-FEB-2010,EC 38914,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007344,Lend Lease Asian Retail Investment Fund 4 Ltd.,BM,Bermuda,BMU,Bermuda,19-SEP-2006,,,28-FEB-2011,EC 38916,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007345,Lend Lease Asian Retail Investment Fund 5 Ltd.,BM,Bermuda,BMU,Bermuda,19-SEP-2006,,,28-FEB-2011,EC 38919,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007346,Lend Lease Asian Retail Investment Fund 6 Ltd.,BM,Bermuda,BMU,Bermuda,19-SEP-2006,,,28-FEB-2011,EC 38918,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007037,Dynamax International Limited,BM,Bermuda,BMU;CHN,Bermuda;China,27-JAN-2006,,,,EC 37929,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007065,MarketRoot International Ltd.,BM,Bermuda,BMU,Bermuda,21-FEB-2006,,,07-SEP-2007,EC 38036,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007088,SIF Limited,BM,Bermuda,AUS;BMU,Australia;Bermuda,18-DEC-2006,,,14-JUL-2010,39408,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007111,Joyas International Holdings Limited,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,04-OCT-2006,,,,38991,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007104,COSL Seeker Ltd.,BM,Bermuda,BMU;NOR;SGP,Bermuda;Norway;Singapore,29-MAR-2006,,,,EC 38181,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007132,Asurion Japan Reinsurance Ltd.,BM,Bermuda,BMU,Bermuda,13-JUN-2006,,,,EC 38523,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007143,Sihuan Pharmaceutical Holdings Group Ltd.,BM,Bermuda,BMU;CHN,Bermuda;China,26-APR-2006,,,28-NOV-2008,EC 38317,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006868,VAN ASIA CAPITAL MANAGEMENT LIMITED,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,10-NOV-2005,,,02-SEP-2009,EC 37565,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006894,COSL Force Ltd.,BM,Bermuda,BMU;NOR;SGP,Bermuda;Norway;Singapore,13-OCT-2005,,,,EC 37427,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006895,i-STT Investments (Bermuda) Ltd.,BM,Bermuda,BMU;SGP,Bermuda;Singapore,13-OCT-2005,,,11-OCT-2012,EC 37423,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006970,Indigo Reinsurance Ltd.,BM,Bermuda,BMU,Bermuda,19-DEC-2005,,,,EC 37728,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007009,COSL Boss Ltd.,BM,Bermuda,BMU;NOR;SGP,Bermuda;Norway;Singapore,06-JAN-2006,,,,EC 37818,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007024,Max Power Industries Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,19-JAN-2006,,,14-OCT-2008,EC 37860,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007006,OUHUA ENERGY HOLDINGS LIMITED,BM,Bermuda,BMU;CHN;SGP,Bermuda;China;Singapore,03-JAN-2006,,,,EC 37791,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82007028,Madagascar Oil Limited,BM,Bermuda,BMU,Bermuda,25-JAN-2006,,,,EC 37901,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006711,Atlas Trading & Shipping Limited,BM,Bermuda,BMU,Bermuda,25-MAY-2005,,,,36865,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006748,Genting Power China Limited,BM,Bermuda,BMU,Bermuda,22-JUN-2005,,,,EC 36995,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006786,VSNL Telecommunications (Bermuda) Ltd.,BM,Bermuda,BMU,Bermuda,21-JUL-2005,,,26-JUL-2005,EC 37124,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006797,NDC Clover Limited,BM,Bermuda,BMU,Bermuda,08-SEP-2005,,,19-OCT-2005,EC 37285,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006608,COSL Superior Ltd.,BM,Bermuda,BMU;NOR;SGP,Bermuda;Norway;Singapore,15-FEB-2005,,,,EC 36510,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006634,Amber Partners Ltd.,BM,Bermuda,BMU,Bermuda,25-FEB-2005,,,14-FEB-2007,EC 36560,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006637,SHENGDA (GROUP) HOLDINGS LTD.,BM,Bermuda,BMU,Bermuda,31-MAR-2005,,,26-OCT-2011,EC 36678,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006432,Pine Agritech Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,07-SEP-2004,,,,EC 35792,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006491,MZ Motorrad Group Limited,BM,Bermuda,BMU;MYS,Bermuda;Malaysia,05-JAN-2005,,,22-OCT-2008,EC 36302,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006495,Man Wah Holdings Limited,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,04-NOV-2004,,,,EC 36038,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006500,PEAK FOREST LIMITED,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,10-MAR-2005,,,,36594,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006477,Reyoung Pharmaceutical Holdings Limited,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,26-OCT-2004,,,,EC 35981,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006332,LionGold Corp Ltd,BM,Bermuda,BMU;CHN;SGP,Bermuda;China;Singapore,23-JUN-2004,,,,EC 35500,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006323,Symphony Master Ltd.,BM,Bermuda,BMU;SGP,Bermuda;Singapore,08-JUN-2004,,,,EC 35424,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006341,OKH Global Ltd.,BM,Bermuda,BMU;HKG;SGP,Bermuda;Hong Kong;Singapore,17-JUN-2004,,,,EC 35479,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006393,IMC Solution Shipping Limited,BM,Bermuda,BMU;SGP,Bermuda;Singapore,10-AUG-2004,,,,EC 35666,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82006243,China Paper Holdings Limited,BM,Bermuda,BMU;CHN;HKG;SGP,Bermuda;China;Hong Kong;Singapore,05-MAR-2004,,,,EC 34994,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
