id,driverRef,season,roundId,raceName,lap,time,position
4641,vettel,2017,2,Chinese Grand Prix,27,97.98,3
4642,ricciardo,2017,2,Chinese Grand Prix,27,98.505,4
4643,raikkonen,2017,2,Chinese Grand Prix,27,98.722,5
4644,sainz,2017,2,Chinese Grand Prix,27,99.937,6
4645,bottas,2017,2,Chinese Grand Prix,27,97.827,7
4646,alonso,2017,2,Chinese Grand Prix,27,99.832,8
4647,kevin_magnussen,2017,2,Chinese Grand Prix,27,99.464,9
4648,perez,2017,2,Chinese Grand Prix,27,98.906,10
4649,ocon,2017,2,Chinese Grand Prix,27,99.442,11
4650,hulkenberg,2017,2,Chinese Grand Prix,27,99.798,12
4651,grosjean,2017,2,Chinese Grand Prix,27,100.146,13
4652,jolyon_palmer,2017,2,Chinese Grand Prix,27,101.952,14
4653,massa,2017,2,Chinese Grand Prix,27,98.324,15
4654,ericsson,2017,2,Chinese Grand Prix,27,101.511,16
4655,hamilton,2017,2,Chinese Grand Prix,28,97.451,1
4656,vettel,2017,2,Chinese Grand Prix,28,98.018,2
4657,max_verstappen,2017,2,Chinese Grand Prix,28,103.621,3
4658,ricciardo,2017,2,Chinese Grand Prix,28,98.746,4
4659,raikkonen,2017,2,Chinese Grand Prix,28,98.575,5
4660,sainz,2017,2,Chinese Grand Prix,28,104.375,6
4661,bottas,2017,2,Chinese Grand Prix,28,98.054,7
4662,alonso,2017,2,Chinese Grand Prix,28,99.727,8
4663,kevin_magnussen,2017,2,Chinese Grand Prix,28,99.306,9
4664,perez,2017,2,Chinese Grand Prix,28,99.031,10
4665,ocon,2017,2,Chinese Grand Prix,28,99.709,11
4666,hulkenberg,2017,2,Chinese Grand Prix,28,99.741,12
4667,grosjean,2017,2,Chinese Grand Prix,28,99.93,13
4668,jolyon_palmer,2017,2,Chinese Grand Prix,28,101.185,14
4669,massa,2017,2,Chinese Grand Prix,28,98.575,15
4670,ericsson,2017,2,Chinese Grand Prix,28,107.695,16
4671,hamilton,2017,2,Chinese Grand Prix,29,97.484,1
4672,vettel,2017,2,Chinese Grand Prix,29,98.579,2
4673,ricciardo,2017,2,Chinese Grand Prix,29,98.925,3
4674,raikkonen,2017,2,Chinese Grand Prix,29,98.798,4
4675,max_verstappen,2017,2,Chinese Grand Prix,29,104.416,5
4676,bottas,2017,2,Chinese Grand Prix,29,97.909,6
4677,alonso,2017,2,Chinese Grand Prix,29,99.585,7
4678,sainz,2017,2,Chinese Grand Prix,29,116.215,8
4679,kevin_magnussen,2017,2,Chinese Grand Prix,29,100.01,9
4680,perez,2017,2,Chinese Grand Prix,29,98.796,10
4681,ocon,2017,2,Chinese Grand Prix,29,99.785,11
4682,hulkenberg,2017,2,Chinese Grand Prix,29,100.783,12
4683,grosjean,2017,2,Chinese Grand Prix,29,100.059,13
4684,jolyon_palmer,2017,2,Chinese Grand Prix,29,101.679,14
4685,massa,2017,2,Chinese Grand Prix,29,99.106,15
4686,ericsson,2017,2,Chinese Grand Prix,29,101.422,16
4687,hamilton,2017,2,Chinese Grand Prix,30,97.596,1
4688,vettel,2017,2,Chinese Grand Prix,30,97.499,2
4689,ricciardo,2017,2,Chinese Grand Prix,30,98.568,3
4690,raikkonen,2017,2,Chinese Grand Prix,30,98.471,4
4691,bottas,2017,2,Chinese Grand Prix,30,97.927,5
4692,max_verstappen,2017,2,Chinese Grand Prix,30,116.184,6
4693,alonso,2017,2,Chinese Grand Prix,30,99.524,7
4694,sainz,2017,2,Chinese Grand Prix,30,97.398,8
4695,kevin_magnussen,2017,2,Chinese Grand Prix,30,99.977,9
4696,perez,2017,2,Chinese Grand Prix,30,98.902,10
4697,ocon,2017,2,Chinese Grand Prix,30,99.679,11
4698,hulkenberg,2017,2,Chinese Grand Prix,30,100.39,12
4699,grosjean,2017,2,Chinese Grand Prix,30,99.625,13
4700,massa,2017,2,Chinese Grand Prix,30,101.109,14
4701,jolyon_palmer,2017,2,Chinese Grand Prix,30,106.966,15
4702,ericsson,2017,2,Chinese Grand Prix,30,102.701,16
4703,hamilton,2017,2,Chinese Grand Prix,31,98.538,1
4704,vettel,2017,2,Chinese Grand Prix,31,97.854,2
4705,ricciardo,2017,2,Chinese Grand Prix,31,99.118,3
4706,raikkonen,2017,2,Chinese Grand Prix,31,98.928,4
4707,bottas,2017,2,Chinese Grand Prix,31,97.872,5
4708,max_verstappen,2017,2,Chinese Grand Prix,31,96.722,6
4709,alonso,2017,2,Chinese Grand Prix,31,99.496,7
4710,sainz,2017,2,Chinese Grand Prix,31,98.054,8
4711,kevin_magnussen,2017,2,Chinese Grand Prix,31,100.479,9
4712,perez,2017,2,Chinese Grand Prix,31,99.249,10
4713,ocon,2017,2,Chinese Grand Prix,31,99.911,11
4714,hulkenberg,2017,2,Chinese Grand Prix,31,99.996,12
4715,grosjean,2017,2,Chinese Grand Prix,31,99.703,13
4716,massa,2017,2,Chinese Grand Prix,31,99.078,14
4717,ericsson,2017,2,Chinese Grand Prix,31,100.374,15
4718,jolyon_palmer,2017,2,Chinese Grand Prix,31,120.278,16
4719,hamilton,2017,2,Chinese Grand Prix,32,96.711,1
4720,vettel,2017,2,Chinese Grand Prix,32,98.225,2
4721,ricciardo,2017,2,Chinese Grand Prix,32,98.441,3
4722,raikkonen,2017,2,Chinese Grand Prix,32,99.138,4
4723,bottas,2017,2,Chinese Grand Prix,32,97.952,5
4724,max_verstappen,2017,2,Chinese Grand Prix,32,97.431,6
4725,alonso,2017,2,Chinese Grand Prix,32,99.644,7
4726,sainz,2017,2,Chinese Grand Prix,32,98.294,8
4727,perez,2017,2,Chinese Grand Prix,32,99.03,9
4728,kevin_magnussen,2017,2,Chinese Grand Prix,32,105.243,10
4729,ocon,2017,2,Chinese Grand Prix,32,99.879,11
4730,hulkenberg,2017,2,Chinese Grand Prix,32,100.355,12
4731,grosjean,2017,2,Chinese Grand Prix,32,99.414,13
4732,massa,2017,2,Chinese Grand Prix,32,98.901,14
4733,ericsson,2017,2,Chinese Grand Prix,32,100.268,15
4734,jolyon_palmer,2017,2,Chinese Grand Prix,32,98.333,16
